Provinsi;2018;2019;2020
ACEH;40,56;42,88;38,12
SUMATERA UTARA;43,43;45,00;40,38
SUMATERA BARAT;36,06;37,87;33,72
RIAU;45,05;47,78;44,03
JAMBI;43,55;42,94;37,26
SUMATERA SELATAN;38,78;39,48;34,74
BENGKULU;31,16;34,88;30,77
LAMPUNG;29,21;31,51;27,74
KEP. BANGKA BELITUNG;49,57;53,18;47,07
KEP. RIAU;68,22;70,43;64,59
DKI JAKARTA;69,85;68,65;61,78
JAWA BARAT;51,79;49,80;44,41
JAWA TENGAH;39,33;42,01;37,25
DI YOGYAKARTA;45,55;48,36;42,59
JAWA TIMUR;38,12;39,36;36,36
BANTEN;56,01;57,86;50,83
BALI;50,62;50,54;43,31
NUSA TENGGARA BARAT;28,19;28,98;26,53
NUSA TENGGARA TIMUR;24,35;27,74;23,90
KALIMANTAN BARAT;40,45;39,89;36,99
KALIMANTAN TENGAH;47,63;48,98;44,20
KALIMANTAN SELATAN;39,92;43,18;39,18
KALIMANTAN TIMUR;58,84;58,24;52,86
KALIMANTAN UTARA;57,05;53,31;49,07
SULAWESI UTARA;44,39;45,19;39,54
SULAWESI TENGAH;33,34;37,03;32,63
SULAWESI SELATAN;36,68;39,45;35,78
SULAWESI TENGGARA;36,91;37,45;35,41
GORONTALO;38,22;41,34;37,88
SULAWESI BARAT;25,31;28,09;27,37
MALUKU;35,63;38,02;33,44
MALUKU UTARA;33,08;38,31;33,87
PAPUA BARAT;45,70;47,75;42,02
PAPUA;21,89;20,71;20,08
INDONESIA;43,02;44,12;39,53
;;;
;;;
;;;
;;;
